component_name;replacement_name;comment;source_url
@ionic-native/file-chooser;ionic-native;;
@ionic-native/file-encryption;ionic-native;;
@ionic-native/file-opener;ionic-native;;
@ionic-native/file-path;ionic-native;;
@ionic-native/file-picker;ionic-native;;
@ionic-native/file-transfer;ionic-native;;
@ionic-native/fingerprint-aio;ionic-native;;
@ionic-native/firebase;ionic-native;;
@ionic-native/firebase-analytics;ionic-native;;
@ionic-native/firebase-authentication;ionic-native;;
@ionic-native/firebase-config;ionic-native;;
@ionic-native/firebase-crash;ionic-native;;
@ionic-native/firebase-crashlytics;ionic-native;;
@ionic-native/firebase-dynamic-links;ionic-native;;
@ionic-native/firebase-messaging;ionic-native;;
@ionic-native/flashlight;ionic-native;;
@ionic-native/flurry-analytics;ionic-native;;
@ionic-native/foreground-service;ionic-native;;
@ionic-native/ftp;ionic-native;;
@ionic-native/full-screen-image;ionic-native;;
@ionic-native/gao-de-location;ionic-native;;
@ionic-native/geofence;ionic-native;;
@ionic-native/geolocation;ionic-native;;
@ionic-native/globalization;ionic-native;;
@ionic-native/google-analytics;ionic-native;;
@ionic-native/google-nearby;ionic-native;;
@ionic-native/google-play-games-services;ionic-native;;
@ionic-native/google-plus;ionic-native;;
@ionic-native/gyroscope;ionic-native;;
@ionic-native/hce;ionic-native;;
@ionic-native/header-color;ionic-native;;
@ionic-native/health;ionic-native;;
@ionic-native/health-kit;ionic-native;;
@ionic-native/hot-code-push;ionic-native;;
@ionic-native/hotspot;ionic-native;;
@ionic-native/http;ionic-native;;
@ionic-native/httpd;ionic-native;;
@ionic-native/hyper-track;ionic-native;;
@ionic-native/ibeacon;ionic-native;;
@ionic-native/image-picker;ionic-native;;
@ionic-native/image-resizer;ionic-native;;
@ionic-native/in-app-browser;ionic-native;;
@ionic-native/in-app-purchase;ionic-native;;
@ionic-native/in-app-purchase-2;ionic-native;;
@ionic-native/in-app-review;ionic-native;;
@ionic-native/index-app-content;ionic-native;;
@ionic-native/insomnia;ionic-native;;
@ionic-native/instagram;ionic-native;;
@ionic-native/intel-security;ionic-native;;
@ionic-native/intercom;ionic-native;;
@ionic-native/ionic-webview;ionic-native;;
@ionic-native/is-debug;ionic-native;;
@ionic-native/janalytics;ionic-native;;
@ionic-native/jins-meme;ionic-native;;
@ionic-native/keyboard;ionic-native;;
@ionic-native/keychain;ionic-native;;
@ionic-native/keychain-touch-id;ionic-native;;
@ionic-native/last-cam;ionic-native;;
@ionic-native/launch-navigator;ionic-native;;
@ionic-native/launch-review;ionic-native;;
@ionic-native/line-login;ionic-native;;
@ionic-native/list-txt;ionic-native;;
@ionic-native/local-notifications;ionic-native;;
@ionic-native/location-accuracy;ionic-native;;
@ionic-native/lottie-splash-screen;ionic-native;;
@ionic-native/luxand;ionic-native;;
@ionic-native/magnetometer;ionic-native;;
@ionic-native/market;ionic-native;;
@ionic-native/media;ionic-native;;
@ionic-native/media-capture;ionic-native;;
@ionic-native/mixpanel;ionic-native;;
@ionic-native/mobile-accessibility;ionic-native;;
@ionic-native/ms-adal;ionic-native;;
@ionic-native/music-controls;ionic-native;;
@ionic-native/native-audio;ionic-native;;
@ionic-native/native-geocoder;ionic-native;;
@ionic-native/native-keyboard;ionic-native;;
@ionic-native/native-page-transitions;ionic-native;;
@ionic-native/native-ringtones;ionic-native;;
@ionic-native/native-storage;ionic-native;;
@ionic-native/navigation-bar;ionic-native;;
@ionic-native/network;ionic-native;;
@ionic-native/network-interface;ionic-native;;
@ionic-native/nfc;ionic-native;;
@ionic-native/ocr;ionic-native;;
@ionic-native/onesignal;ionic-native;;
@ionic-native/open-native-settings;ionic-native;;
@ionic-native/openalpr;ionic-native;;
@ionic-native/paypal;ionic-native;;
@ionic-native/pedometer;ionic-native;;
@ionic-native/phonegap-local-notification;ionic-native;;
@ionic-native/photo-library;ionic-native;;
@ionic-native/photo-viewer;ionic-native;;
@ionic-native/pin-check;ionic-native;;
@ionic-native/pin-dialog;ionic-native;;
@ionic-native/pinterest;ionic-native;;
@ionic-native/power-management;ionic-native;;
@ionic-native/printer;ionic-native;;
@ionic-native/pro;ionic-native;;
@ionic-native/purchases;ionic-native;;
@ionic-native/push;ionic-native;;
@ionic-native/qqsdk;ionic-native;;
@ionic-native/qr-scanner;ionic-native;;
@ionic-native/quikkly;ionic-native;;
@ionic-native/regula-document-reader;ionic-native;;
@ionic-native/rollbar;ionic-native;;
@ionic-native/safari-view-controller;ionic-native;;
@ionic-native/screen-orientation;ionic-native;;
@ionic-native/screenshot;ionic-native;;
@ionic-native/secure-storage;ionic-native;;
@ionic-native/sensors;ionic-native;;
@ionic-native/serial;ionic-native;;
@ionic-native/shake;ionic-native;;
@ionic-native/sim;ionic-native;;
@ionic-native/siri-shortcuts;ionic-native;;
@ionic-native/sms;ionic-native;;
@ionic-native/sms-retriever;ionic-native;;
@ionic-native/social-sharing;ionic-native;;
@ionic-native/speech-recognition;ionic-native;;
@ionic-native/speechkit;ionic-native;;
@ionic-native/spinner-dialog;ionic-native;;
@ionic-native/splash-screen;ionic-native;;
@ionic-native/spotify-auth;ionic-native;;
@ionic-native/sqlite;ionic-native;;
@ionic-native/sqlite-db-copy;ionic-native;;
@ionic-native/sqlite-porter;ionic-native;;
@ionic-native/star-prnt;ionic-native;;
@ionic-native/status-bar;ionic-native;;
@ionic-native/stepcounter;ionic-native;;
@ionic-native/streaming-media;ionic-native;;
@ionic-native/stripe;ionic-native;;
@ionic-native/sum-up;ionic-native;;
@ionic-native/taptic-engine;ionic-native;;
@ionic-native/tealium;ionic-native;;
@ionic-native/tealium-adidentifier;ionic-native;;
@ionic-native/tealium-installreferrer;ionic-native;;
@ionic-native/text-to-speech;ionic-native;;
@ionic-native/theme-detection;ionic-native;;
@ionic-native/themeable-browser;ionic-native;;
@ionic-native/three-dee-touch;ionic-native;;
@ionic-native/toast;ionic-native;;
@ionic-native/touch-id;ionic-native;;
@ionic-native/twitter-connect;ionic-native;;
@ionic-native/uid;ionic-native;;
@ionic-native/unique-device-id;ionic-native;;
@ionic-native/unvired-cordova-sdk;ionic-native;;
@ionic-native/uptime;ionic-native;;
@ionic-native/user-agent;ionic-native;;
@ionic-native/vibration;ionic-native;;
@ionic-native/video-capture-plus;ionic-native;;
@ionic-native/video-editor;ionic-native;;
@ionic-native/video-player;ionic-native;;
@ionic-native/web-intent;ionic-native;;
@ionic-native/web-server;ionic-native;;
@ionic-native/webengage;ionic-native;;
@ionic-native/wechat;ionic-native;;
@ionic-native/wheel-selector;ionic-native;;
@ionic-native/youtube-video-player;ionic-native;;
@ionic-native/zbar;ionic-native;;
@ionic-native/zeroconf;ionic-native;;
@ionic-native/zip;ionic-native;;
@ionic-native/zoom;ionic-native;;

